name,nation,team,position,Cluster
Hwang Hee-chan,KOR,Wolves,"MF,FW",0
Dean Henderson,ENG,Crystal Palace,GK,2
Mads Hermansen,DEN,Leicester City,GK,2
Son Heung-min,KOR,Tottenham,FW,1
James Hill,ENG,Bournemouth,DF,0
Jack Hinshelwood,ENG,Brighton,"DF,MF",0
George Hirst,SCO,Ipswich Town,FW,0
Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",1
Will Hughes,ENG,Crystal Palace,MF,3
Dean Huijsen,ESP,Bournemouth,DF,3
Omari Hutchinson,ENG,Ipswich Town,"MF,FW",1
Rasmus Højlund,DEN,Manchester Utd,FW,0
Igor,BRA,Brighton,DF,0
Danny Ings,ENG,West Ham,"FW,MF",0
Tim Iroegbunam,ENG,Everton,MF,0
Andy Irving,SCO,West Ham,MF,0
Alexander Isak,SWE,Newcastle Utd,FW,1
Abdul Fatawu Issahaku,GHA,Leicester City,FW,0
Alex Iwobi,NGA,Fulham,"FW,MF",1
Nicolas Jackson,SEN,Chelsea,FW,1
Reece James,ENG,Chelsea,"DF,MF",0
Vitaly Janelt,GER,Brentford,MF,3
Mathias Jensen,DEN,Brentford,MF,0
Gabriel Jesus,BRA,Arsenal,FW,0
Raúl Jiménez,MEX,Fulham,FW,1
Joelinton,BRA,Newcastle Utd,"MF,FW",3
Ben Johnson,ENG,Ipswich Town,"DF,FW",0
Brennan Johnson,WAL,Tottenham,FW,1
Sam Johnstone,ENG,Wolves,GK,0
Curtis Jones,ENG,Liverpool,"MF,DF",1
Jorginho,ITA,Arsenal,MF,0
Diogo Jota,POR,Liverpool,FW,1
James Justin,ENG,Leicester City,DF,3
Filip Jørgensen,DEN,Chelsea,GK,0
Ferdi Kadioglu,TUR,Brighton,"DF,MF",0
Daichi Kamada,JPN,Crystal Palace,MF,0
Boubacar Kamara,FRA,Aston Villa,MF,3
Michael Kayode,ITA,Brentford,DF,0
Michael Keane,ENG,Everton,DF,0
Caoimhín Kelleher,IRL,Liverpool,GK,2
Lloyd Kelly,ENG,Newcastle Utd,DF,0
Milos Kerkez,HUN,Bournemouth,DF,3
Bilal El Khannouss,MAR,Leicester City,MF,1
Abdukodir Khusanov,UZB,Manchester City,DF,0
Max Kilman,ENG,West Ham,DF,3
Antonín Kinský,CZE,Tottenham,GK,0
Jakub Kiwior,POL,Arsenal,DF,0
Justin Kluivert,NED,Bournemouth,"MF,FW",1
Ibrahima Konaté,FRA,Liverpool,DF,3
Ezri Konsa,ENG,Aston Villa,DF,3
Armel Bella Kotchap,GER,Southampton,DF,0
Mateo Kovačić,CRO,Manchester City,MF,3
Emil Krafth,SWE,Newcastle Utd,DF,0
Victor Bernth Kristiansen,DEN,Leicester City,DF,3
Mohammed Kudus,GHA,West Ham,"FW,MF",1
Dejan Kulusevski,SWE,Tottenham,"MF,FW",1
Maxence Lacroix,FRA,Crystal Palace,DF,3
Adam Lallana,ENG,Southampton,MF,0
Tariq Lamptey,GHA,Brighton,DF,0
Jørgen Strand Larsen,NOR,Wolves,FW,1
Roméo Lavia,BEL,Chelsea,MF,0
Mario Lemina,GAB,Wolves,"MF,DF",3
Bernd Leno,GER,Fulham,GK,2
Jefferson Lerma,COL,Crystal Palace,"MF,DF",3
Rico Lewis,ENG,Manchester City,"DF,MF",3
Keane Lewis-Potter,ENG,Brentford,"DF,FW",3
Myles Lewis-Skelly,ENG,Arsenal,DF,0
Matthijs de Ligt,NED,Manchester Utd,DF,3
Victor Lindelöf,SWE,Manchester Utd,DF,0
Jesper Lindstrøm,DEN,Everton,FW,0
Valentino Livramento,ENG,Newcastle Utd,DF,3
Sean Longstaff,ENG,Newcastle Utd,MF,0
Saša Lukić,SRB,Fulham,MF,3
Joe Lumley,ENG,Southampton,GK,0
Massimo Luongo,AUS,Ipswich Town,MF,0
Ian Maatsen,NED,Aston Villa,DF,0
James Maddison,ENG,Tottenham,MF,1
Noni Madueke,ENG,Chelsea,FW,1
Gabriel Magalhães,BRA,Arsenal,DF,3
Edmond-Paris Maghoma,ENG,Brentford,"MF,FW",0
Harry Maguire,ENG,Manchester Utd,DF,3
Kobbie Mainoo,ENG,Manchester Utd,MF,0
Tyrell Malacia,NED,Manchester Utd,DF,0
Donyell Malen,NED,Aston Villa,FW,0
Orel Mangala,BEL,Everton,MF,0
Ryan Manning,IRL,Southampton,"DF,MF",3
Solly March,ENG,Brighton,"FW,MF",0
Omar Marmoush,EGY,Manchester City,"FW,MF",0
Gabriel Martinelli,BRA,Arsenal,"FW,MF",1
Emiliano Martínez,ARG,Aston Villa,GK,2
Lisandro Martínez,ARG,Manchester Utd,DF,3
Jean-Philippe Mateta,FRA,Crystal Palace,FW,1
Stephy Mavididi,ENG,Leicester City,FW,1
Konstantinos Mavropanos,GRE,West Ham,DF,3
Noussair Mazraoui,MAR,Manchester Utd,DF,3
Bryan Mbeumo,CMR,Brentford,FW,1
Kasey McAteer,IRL,Leicester City,"FW,MF",0
Alex McCarthy,ENG,Southampton,GK,0
John McGinn,SCO,Aston Villa,"MF,FW",1
Dwight McNeil,ENG,Everton,"MF,FW",1
James Mcatee,ENG,Manchester City,"MF,FW",0
Ben Mee,ENG,Brentford,DF,0
Mikel Merino,ESP,Arsenal,"MF,FW",1
Nikola Milenković,SRB,Nott'ham Forest,DF,3
Lewis Miley,ENG,Newcastle Utd,MF,0
James Milner,ENG,Brighton,MF,0
Tyrone Mings,ENG,Aston Villa,DF,0
Yankuba Minteh,GAM,Brighton,"FW,MF",1
Tyrick Mitchell,ENG,Crystal Palace,DF,3
Kaoru Mitoma,JPN,Brighton,"FW,MF",1
Mikey Moore,ENG,Tottenham,FW,0
Morato,BRA,Nott'ham Forest,DF,0
Álex Moreno,ESP,Nott'ham Forest,"DF,MF",0
Sam Morsy,EGY,Ipswich Town,MF,3
Yerson Mosquera,COL,Wolves,DF,0
Mason Mount,ENG,Manchester Utd,"MF,FW",0
Mykhailo Mudryk,UKR,Chelsea,FW,0
Marshall Munetsi,ZIM,Wolves,"MF,FW",0
Rodrigo Muniz,BRA,Fulham,FW,0
Arijanet Muric,KVX,Ipswich Town,GK,2
Murillo,BRA,Nott'ham Forest,DF,3
Jacob Murphy,ENG,Newcastle Utd,FW,1
Daniel Muñoz,COL,Crystal Palace,DF,3
Vitaliy Mykolenko,UKR,Everton,DF,3
Iliman Ndiaye,SEN,Everton,FW,1
Wilfred Ndidi,NGA,Leicester City,MF,3
Kosta Nedeljković,SRB,Aston Villa,DF,0
Reiss Nelson,ENG,Fulham,FW,0
Neto,BRA,Bournemouth,GK,0
Pedro Neto,POR,Chelsea,FW,1
Eddie Nketiah,ENG,Crystal Palace,"FW,MF",0
Christopher Nkunku,FRA,Chelsea,FW,0
Matheus Nunes,POR,Manchester City,"DF,MF",3
Ethan Nwaneri,ENG,Arsenal,"FW,MF",0
Christian Nørgaard,DEN,Brentford,MF,3
Darwin Núñez,URU,Liverpool,FW,0
Jake O'Brien,IRL,Everton,DF,0
Matt O'Riley,DEN,Brighton,MF,0
Dara O'Shea,IRL,Ipswich Town,DF,3
Chidozie Obi-Martin,DEN,Manchester Utd,FW,0
Wilson Odobert,FRA,Tottenham,FW,0
Chiedozie Ogbene,IRL,Ipswich Town,FW,0
Caleb Okoli,ITA,Leicester City,DF,0
Robin Olsen,SWE,Aston Villa,GK,0
André Onana,CMR,Manchester Utd,GK,2
Amadou Onana,BEL,Aston Villa,MF,3
Paul Onuachu,NGA,Southampton,FW,0
Stefan Ortega,GER,Manchester City,GK,2
William Osula,DEN,Newcastle Utd,FW,0
Dango Ouattara,BFA,Bournemouth,FW,1
Nico O’Reilly,ENG,Manchester City,DF,0
Alex Palmer,ENG,Ipswich Town,GK,0
Cole Palmer,ENG,Chelsea,MF,1
Emerson Palmieri,ITA,West Ham,DF,3
Lucas Paquetá,BRA,West Ham,"MF,FW",3
Thomas Partey,GHA,Arsenal,"MF,DF",3
Nathan Patterson,SCO,Everton,DF,0
João Pedro,BRA,Brighton,"FW,MF",1
Ricardo Pereira,POR,Leicester City,DF,0
